Number of iterations,Estimated Volume,Error percentage
100000,18810.97715,11.22959816
400000,17354.05839,7.679942982
10000,14812.80997,33.58839639
1000,17864.3309,70.76665288
100,17665.88389,84.32097662
20,18709.45498,89.01070316
600000,18081.43503,6.859353216
20,19350.94957,88.11958767
20,19295.52799628876,90.17213785569642
20,19344.795912018555,nan
